CustomerID,FirstName,LastName,Email,Phone,City,Country,CreatedAt
CUST0001,Olivia,Smith,olivia.smith@shopper.net,+1-555-328-3286,Houston,Netherlands,2023-11-29T22:52:43.439714
CUST0002,Noah,Jackson,noah.jackson@customer.org,+1-555-130-2535,San Antonio,Germany,2023-01-02T21:35:34.439714
CUST0003,Elijah,Martin,elijah.martin@example.com,+1-555-303-9928,Columbus,Germany,2025-04-04T09:22:52.439714
CUST0004,Mason,Jackson,mason.jackson@shopper.net,+1-555-877-3615,Columbus,Australia,2022-11-24T14:56:23.439714
CUST0005,Charlotte,Jones,charlotte.jones@mail.com,+1-555-204-2519,Fort Worth,Canada,2024-04-20T09:48:10.439714
CUST0006,James,Lopez,james.lopez@shopper.net,+1-555-847-8527,Seattle,Canada,2023-01-21T00:35:54.439714
CUST0007,Benjamin,Williams,benjamin.williams@shopper.net,+1-555-733-6925,Denver,Germany,2025-07-18T02:02:20.439714
CUST0008,Noah,Johnson,noah.johnson@mail.com,+1-555-181-4814,Houston,Spain,2024-02-07T01:48:49.439714
CUST0009,Charlotte,Anderson,charlotte.anderson@shopper.net,+1-555-479-6820,San Antonio,France,2023-07-25T04:49:58.439714
CUST0010,Noah,Martin,noah.martin@mail.com,+1-555-846-5010,Philadelphia,Italy,2025-02-21T06:49:35.439714
CUST0011,Benjamin,Rodriguez,benjamin.rodriguez@mail.com,+1-555-432-1916,San Diego,USA,2025-10-13T00:55:04.439714
CUST0012,Ethan,Gonzalez,ethan.gonzalez@shopper.net,+1-555-316-6155,San Antonio,Italy,2023-02-25T08:20:19.439714
CUST0013,Benjamin,Anderson,benjamin.anderson@mail.com,+1-555-242-5040,Seattle,Netherlands,2023-12-31T00:05:49.439714
CUST0014,Charlotte,Jackson,charlotte.jackson@customer.org,+1-555-508-6930,San Diego,United Kingdom,2025-05-09T00:19:58.439714
CUST0015,Elijah,Thomas,elijah.thomas@example.com,+1-555-981-2796,Phoenix,United Kingdom,2023-01-26T17:16:27.439714
CUST0016,Lucas,Martin,lucas.martin@example.com,+1-555-490-8668,Indianapolis,France,2024-07-04T05:48:49.439714
CUST0017,Alexander,Smith,alexander.smith@example.com,+1-555-649-5371,Austin,Canada,2025-10-08T12:39:11.439714
CUST0018,Amelia,Wilson,amelia.wilson@mail.com,+1-555-103-5315,Indianapolis,United Kingdom,2024-10-19T08:41:40.439714
CUST0019,Elijah,Brown,elijah.brown@shopper.net,+1-555-619-4258,Phoenix,Australia,2025-08-03T02:24:44.439714
CUST0020,Isabella,Moore,isabella.moore@example.com,+1-555-431-9005,New York,Canada,2025-06-01T22:55:16.439714
CUST0021,James,Martinez,james.martinez@mail.com,+1-555-346-2290,Chicago,Italy,2023-02-12T12:15:19.439714
CUST0022,Noah,Moore,noah.moore@mail.com,+1-555-775-8787,Seattle,United Kingdom,2023-06-01T23:25:45.439714
CUST0023,Charlotte,Taylor,charlotte.taylor@customer.org,+1-555-652-4295,San Jose,Spain,2023-10-09T13:03:28.439714
CUST0024,James,Anderson,james.anderson@customer.org,+1-555-353-4681,Chicago,Australia,2023-05-21T12:00:43.439714
CUST0025,Liam,Jackson,liam.jackson@mail.com,+1-555-325-1117,Chicago,USA,2025-05-16T15:17:10.439714
CUST0026,Mia,Williams,mia.williams@example.com,+1-555-172-9423,San Diego,France,2024-04-10T19:54:56.439714
CUST0027,Logan,Miller,logan.miller@mail.com,+1-555-690-8744,San Diego,Italy,2025-04-19T14:40:41.439714
CUST0028,Lucas,Miller,lucas.miller@example.com,+1-555-774-8062,Jacksonville,Spain,2023-04-14T02:29:28.439714
CUST0029,Lucas,Anderson,lucas.anderson@example.com,+1-555-769-2612,Los Angeles,Spain,2025-09-25T13:29:54.439714
CUST0030,Ethan,Brown,ethan.brown@mail.com,+1-555-294-9786,Charlotte,United Kingdom,2023-09-08T03:38:39.439714
CUST0031,Lucas,Garcia,lucas.garcia@shopper.net,+1-555-355-2235,Charlotte,Netherlands,2024-11-02T04:40:23.439714
CUST0032,Olivia,Johnson,olivia.johnson@example.com,+1-555-871-4872,Philadelphia,Spain,2023-04-08T09:44:12.439714
CUST0033,Logan,Thomas,logan.thomas@mail.com,+1-555-160-3697,Fort Worth,USA,2024-07-29T12:30:51.439714
CUST0034,Benjamin,Rodriguez,benjamin.rodriguez@customer.org,+1-555-533-8973,Phoenix,Germany,2024-01-31T15:30:38.439714
CUST0035,Amelia,Miller,amelia.miller@example.com,+1-555-853-9883,Los Angeles,Australia,2025-05-02T06:03:17.439714
CUST0036,Emma,Johnson,emma.johnson@customer.org,+1-555-973-9701,Philadelphia,USA,2025-01-03T16:16:10.439714
CUST0037,Elijah,Williams,elijah.williams@mail.com,+1-555-709-2113,San Diego,Spain,2023-02-28T23:18:32.439714
CUST0038,Olivia,Jackson,olivia.jackson@mail.com,+1-555-708-1651,Washington,Canada,2025-05-01T20:18:55.439714
CUST0039,Lucas,Jackson,lucas.jackson@shopper.net,+1-555-309-6147,San Diego,France,2023-12-24T14:41:54.439714
CUST0040,Benjamin,Jones,benjamin.jones@shopper.net,+1-555-423-2188,New York,Italy,2024-10-24T19:12:58.439714
CUST0041,Sebastian,Jackson,sebastian.jackson@example.com,+1-555-650-4492,Indianapolis,France,2023-03-08T08:00:22.439714
CUST0042,Ava,Lopez,ava.lopez@example.com,+1-555-478-5669,Philadelphia,Italy,2023-11-29T00:13:54.439714
CUST0043,Alexander,Martinez,alexander.martinez@example.com,+1-555-936-5905,Houston,United Kingdom,2025-09-17T00:23:36.439714
CUST0044,Charlotte,Brown,charlotte.brown@example.com,+1-555-259-5462,San Jose,Sweden,2025-03-22T22:19:15.439714
CUST0045,Sophia,Hernandez,sophia.hernandez@mail.com,+1-555-749-5325,Indianapolis,Italy,2025-10-17T12:23:57.439714
CUST0046,Charlotte,Johnson,charlotte.johnson@example.com,+1-555-533-5533,Los Angeles,USA,2025-07-26T20:29:12.439714
CUST0047,Ethan,Jones,ethan.jones@shopper.net,+1-555-859-8239,Seattle,Spain,2023-07-23T12:51:40.439714
CUST0048,Alexander,Smith,alexander.smith1@example.com,+1-555-807-3442,Seattle,USA,2023-03-11T09:56:34.439714
CUST0049,James,Jackson,james.jackson@mail.com,+1-555-230-1685,San Jose,Australia,2024-09-12T04:15:31.439714
CUST0050,Emma,Lopez,emma.lopez@mail.com,+1-555-355-2684,Jacksonville,Netherlands,2025-10-09T01:56:16.439714
CUST0051,Lucas,Martin,lucas.martin@mail.com,+1-555-985-3662,Philadelphia,Spain,2023-11-17T06:51:21.439714
CUST0052,Liam,Garcia,liam.garcia@shopper.net,+1-555-921-5065,Dallas,United Kingdom,2024-08-15T02:25:40.439714
CUST0053,Olivia,Gonzalez,olivia.gonzalez@example.com,+1-555-327-4269,Charlotte,Australia,2024-11-14T17:14:40.439714
CUST0054,Amelia,Davis,amelia.davis@mail.com,+1-555-775-4164,Fort Worth,Australia,2022-12-21T06:55:21.439714
CUST0055,Charlotte,Williams,charlotte.williams@shopper.net,+1-555-756-9346,Fort Worth,Netherlands,2024-05-13T00:19:30.439714
CUST0056,Ethan,Smith,ethan.smith@example.com,+1-555-282-5349,Los Angeles,Canada,2023-12-25T07:27:25.439714
CUST0057,Sebastian,Wilson,sebastian.wilson@shopper.net,+1-555-546-9379,Houston,Spain,2024-03-15T19:23:11.439714
CUST0058,Henry,Miller,henry.miller@shopper.net,+1-555-825-8144,New York,Netherlands,2023-01-22T11:29:54.439714
CUST0059,Alexander,Miller,alexander.miller@shopper.net,+1-555-171-6409,Washington,Australia,2024-09-14T12:34:52.439714
CUST0060,Olivia,Martinez,olivia.martinez@shopper.net,+1-555-518-6344,Fort Worth,France,2025-09-15T12:13:05.439714
CUST0061,Alexander,Jones,alexander.jones@mail.com,+1-555-780-7211,Philadelphia,Sweden,2024-08-28T16:01:26.439714
CUST0062,Henry,Martinez,henry.martinez@customer.org,+1-555-953-1006,San Jose,France,2025-03-14T17:13:42.439714
CUST0063,Sophia,Wilson,sophia.wilson@shopper.net,+1-555-552-8244,San Antonio,Netherlands,2024-11-05T20:39:53.439714
CUST0064,Logan,Garcia,logan.garcia@example.com,+1-555-627-6491,Chicago,Germany,2024-01-29T08:58:21.439714
CUST0065,Amelia,Davis,amelia.davis1@mail.com,+1-555-125-1757,San Diego,Italy,2023-07-01T10:24:09.439714
CUST0066,Sebastian,Williams,sebastian.williams@customer.org,+1-555-744-4185,Fort Worth,Italy,2024-08-19T08:07:45.439714
CUST0067,Benjamin,Davis,benjamin.davis@mail.com,+1-555-804-1090,Houston,Spain,2025-08-29T16:15:50.439714
CUST0068,Mia,Garcia,mia.garcia@customer.org,+1-555-670-5082,Houston,Italy,2023-01-31T12:55:32.439714
CUST0069,Ava,Anderson,ava.anderson@shopper.net,+1-555-727-9270,Columbus,Netherlands,2024-10-02T00:58:54.439714
CUST0070,Mason,Garcia,mason.garcia@customer.org,+1-555-365-5050,Dallas,Netherlands,2024-10-13T16:27:55.439714
CUST0071,Logan,Davis,logan.davis@shopper.net,+1-555-179-5681,San Diego,France,2024-09-27T20:17:15.439714
CUST0072,Ethan,Hernandez,ethan.hernandez@example.com,+1-555-254-4788,Fort Worth,United Kingdom,2023-06-17T11:36:27.439714
CUST0073,Sophia,Williams,sophia.williams@customer.org,+1-555-438-9890,Charlotte,Spain,2024-08-08T17:03:16.439714
CUST0074,Emma,Miller,emma.miller@customer.org,+1-555-888-1320,Denver,Spain,2024-07-11T13:23:47.439714
CUST0075,Logan,Smith,logan.smith@shopper.net,+1-555-871-7389,Columbus,Netherlands,2024-02-21T09:44:06.439714
CUST0076,Alexander,Martin,alexander.martin@mail.com,+1-555-324-5471,Columbus,Italy,2024-12-11T23:09:46.439714
CUST0077,Liam,Gonzalez,liam.gonzalez@shopper.net,+1-555-795-7624,Philadelphia,Italy,2025-09-18T14:03:52.439714
CUST0078,Ava,Martin,ava.martin@example.com,+1-555-706-1444,Chicago,Spain,2024-07-18T14:47:18.439714
CUST0079,Ava,Anderson,ava.anderson@mail.com,+1-555-366-7211,Austin,Germany,2023-01-31T15:23:44.439714
CUST0080,Mason,Hernandez,mason.hernandez@shopper.net,+1-555-384-7906,Dallas,Canada,2024-06-25T11:29:54.439714
CUST0081,Logan,Smith,logan.smith@example.com,+1-555-329-2124,Los Angeles,USA,2024-05-11T04:06:57.439714
CUST0082,Mia,Miller,mia.miller@example.com,+1-555-256-4908,Phoenix,Italy,2025-07-06T17:43:15.439714
CUST0083,Olivia,Jackson,olivia.jackson1@mail.com,+1-555-816-5198,Jacksonville,United Kingdom,2024-11-05T22:22:19.439714
CUST0084,Sebastian,Martin,sebastian.martin@example.com,+1-555-418-2771,Denver,USA,2023-07-26T22:16:49.439714
CUST0085,Amelia,Jackson,amelia.jackson@customer.org,+1-555-832-4249,Chicago,Sweden,2024-07-22T16:59:52.439714
CUST0086,Mia,Brown,mia.brown@shopper.net,+1-555-714-2983,Denver,USA,2025-10-12T11:40:28.439714
CUST0087,James,Moore,james.moore@customer.org,+1-555-479-2129,Indianapolis,Australia,2025-09-07T03:57:06.439714
CUST0088,Liam,Wilson,liam.wilson@customer.org,+1-555-543-6934,Charlotte,United Kingdom,2023-04-27T11:25:22.439714
CUST0089,Lucas,Garcia,lucas.garcia1@shopper.net,+1-555-927-9817,San Francisco,Italy,2025-06-28T07:31:31.439714
CUST0090,Lucas,Jackson,lucas.jackson1@shopper.net,+1-555-972-5022,Chicago,France,2024-03-29T05:02:03.439714
CUST0091,Mason,Davis,mason.davis@customer.org,+1-555-724-7209,Austin,USA,2025-04-17T18:10:59.439714
CUST0092,Logan,Hernandez,logan.hernandez@mail.com,+1-555-317-6813,Dallas,Australia,2024-12-10T21:49:39.439714
CUST0093,Charlotte,Martin,charlotte.martin@shopper.net,+1-555-110-9464,San Antonio,Canada,2025-03-26T22:02:24.439714
CUST0094,Mia,Wilson,mia.wilson@customer.org,+1-555-876-4937,San Francisco,Italy,2025-03-25T23:07:04.439714
CUST0095,Mason,Smith,mason.smith@example.com,+1-555-326-7625,San Diego,France,2024-02-14T14:32:46.439714
CUST0096,Henry,Lopez,henry.lopez@customer.org,+1-555-643-6632,Columbus,Netherlands,2025-03-23T07:36:57.439714
CUST0097,Ethan,Lopez,ethan.lopez@customer.org,+1-555-413-5118,San Diego,Canada,2024-01-09T09:08:42.439714
CUST0098,Sophia,Hernandez,sophia.hernandez@example.com,+1-555-880-4033,San Antonio,Germany,2025-02-23T23:06:18.439714
CUST0099,Logan,Rodriguez,logan.rodriguez@shopper.net,+1-555-952-4180,San Jose,Germany,2023-04-19T16:32:00.439714
CUST0100,James,Garcia,james.garcia@shopper.net,+1-555-825-9751,Phoenix,France,2022-12-06T12:08:16.439714
CUST0101,Emma,Johnson,emma.johnson@shopper.net,+1-555-229-9042,Houston,USA,2025-11-01T22:15:12.439714
CUST0102,Henry,Martinez,henry.martinez1@customer.org,+1-555-551-6582,Philadelphia,USA,2024-11-27T04:24:28.439714
CUST0103,Charlotte,Thomas,charlotte.thomas@example.com,+1-555-510-9056,Chicago,Sweden,2023-02-24T00:49:42.439714
CUST0104,Emma,Jones,emma.jones@mail.com,+1-555-411-2395,San Diego,Canada,2025-04-06T20:49:46.439714
CUST0105,Alexander,Wilson,alexander.wilson@mail.com,+1-555-489-8381,Charlotte,France,2025-02-03T07:33:53.439714
CUST0106,Henry,Wilson,henry.wilson@shopper.net,+1-555-735-1986,Washington,Canada,2025-04-15T20:41:30.439714
CUST0107,Sophia,Miller,sophia.miller@shopper.net,+1-555-183-3573,San Diego,United Kingdom,2025-09-05T11:11:39.439714
CUST0108,Alexander,Williams,alexander.williams@mail.com,+1-555-518-8381,Washington,Italy,2022-11-18T16:24:24.439714
CUST0109,Amelia,Johnson,amelia.johnson@mail.com,+1-555-823-5632,Charlotte,Canada,2024-02-05T01:58:38.439714
CUST0110,Mia,Rodriguez,mia.rodriguez@mail.com,+1-555-217-9922,San Diego,United Kingdom,2024-09-04T22:58:41.439714
CUST0111,Charlotte,Jones,charlotte.jones@example.com,+1-555-269-6039,Washington,Sweden,2023-02-15T04:06:57.439714
CUST0112,Amelia,Anderson,amelia.anderson@example.com,+1-555-805-5982,Fort Worth,France,2024-11-11T14:58:31.439714
CUST0113,Elijah,Moore,elijah.moore@customer.org,+1-555-182-1653,Columbus,Australia,2024-09-24T13:28:55.439714
CUST0114,Sebastian,Rodriguez,sebastian.rodriguez@example.com,+1-555-334-1339,Dallas,Sweden,2023-04-05T09:33:42.439714
CUST0115,Emma,Garcia,emma.garcia@customer.org,+1-555-767-8245,Dallas,United Kingdom,2025-01-28T17:01:22.439714
CUST0116,Henry,Wilson,henry.wilson@customer.org,+1-555-581-6700,Columbus,Australia,2023-04-05T06:24:43.439714
CUST0117,Ethan,Brown,ethan.brown1@mail.com,+1-555-521-9117,San Jose,Spain,2024-04-09T20:37:13.439714
CUST0118,Alexander,Johnson,alexander.johnson@customer.org,+1-555-422-5135,Austin,Canada,2023-03-31T07:45:20.439714
CUST0119,Benjamin,Taylor,benjamin.taylor@example.com,+1-555-990-9889,Charlotte,Spain,2025-09-01T04:00:17.439714
CUST0120,Emma,Miller,emma.miller@shopper.net,+1-555-874-9167,Charlotte,USA,2025-07-08T18:07:18.439714
CUST0121,Sophia,Rodriguez,sophia.rodriguez@mail.com,+1-555-548-8941,Houston,USA,2024-02-04T23:09:12.439714
CUST0122,Sebastian,Davis,sebastian.davis@mail.com,+1-555-664-1224,Seattle,Spain,2024-03-11T06:15:12.439714
CUST0123,Noah,Davis,noah.davis@example.com,+1-555-220-3522,San Francisco,France,2024-10-31T08:40:22.439714
CUST0124,Elijah,Rodriguez,elijah.rodriguez@customer.org,+1-555-583-4993,Charlotte,Netherlands,2024-12-03T01:32:11.439714
CUST0125,Ava,Gonzalez,ava.gonzalez@mail.com,+1-555-620-3236,Chicago,France,2025-06-02T15:03:54.439714
CUST0126,Lucas,Hernandez,lucas.hernandez@shopper.net,+1-555-389-5891,Denver,Sweden,2022-11-18T12:17:18.439714
CUST0127,Logan,Jones,logan.jones@customer.org,+1-555-595-6654,Austin,Netherlands,2025-02-28T04:23:16.439714
CUST0128,Alexander,Gonzalez,alexander.gonzalez@customer.org,+1-555-990-4090,San Diego,Sweden,2024-03-28T09:22:39.439714
CUST0129,Benjamin,Davis,benjamin.davis@customer.org,+1-555-425-8749,Fort Worth,Spain,2023-01-21T07:56:16.439714
CUST0130,Ava,Thomas,ava.thomas@example.com,+1-555-614-6439,Houston,Italy,2023-05-29T15:27:02.439714
CUST0131,Olivia,Taylor,olivia.taylor@customer.org,+1-555-839-3361,Columbus,United Kingdom,2022-12-08T08:50:54.439714
CUST0132,Noah,Thomas,noah.thomas@shopper.net,+1-555-738-7512,Chicago,Australia,2024-04-23T11:07:34.439714
CUST0133,Alexander,Gonzalez,alexander.gonzalez@shopper.net,+1-555-835-8994,Seattle,USA,2025-07-15T05:24:56.439714
CUST0134,Sebastian,Williams,sebastian.williams@mail.com,+1-555-800-5708,San Diego,Canada,2025-07-22T00:02:12.439714
CUST0135,Lucas,Brown,lucas.brown@example.com,+1-555-270-5906,New York,USA,2024-10-03T18:11:02.439714
CUST0136,Ethan,Johnson,ethan.johnson@shopper.net,+1-555-483-8056,Phoenix,Germany,2024-05-24T09:07:50.439714
