CustomerName,OrderDate,ProductName,CategoryName,Quantity,TotalPrice
Isabella Hernandez,2025-11-13T10:24:06.404Z,Essential Monitor,Clothing - Fitness 276,4,1375.16
Isabella Hernandez,2025-11-13T10:24:06.404Z,Eco Tablet,Home & Kitchen - Wellness 885,1,1105.86
Isabella Hernandez,2025-11-13T10:24:06.404Z,Vintage Treadmill,Clothing - Fitness 331,1,404.52
Isabella Hernandez,2025-11-13T10:24:06.404Z,Limited Cookware Set,Home & Kitchen - Lighting 424,1,200.5
Isabella Hernandez,2025-11-13T10:24:06.404Z,Classic Printer,Sports & Outdoors - Computers 283,4,67.72
Isabella Hernandez,2025-11-13T10:24:06.404Z,Premium Chair,Automotive - Footwear 127,1,994.53
Ava Wilson,2025-11-13T07:01:43.123Z,Smart Mixer,Electronics - Office 438,1,871.66
Ava Wilson,2025-11-13T07:01:43.123Z,Rustic Watch,Home & Kitchen - Wellness 885,3,1924.8
Ava Wilson,2025-11-13T07:01:43.123Z,Deluxe Tablet,Books - Footwear 957,4,332.52
Ava Wilson,2025-11-13T07:01:43.123Z,Modern Drill,Books - Footwear 358,2,1868.4
Lucas Rodriguez,2025-11-13T06:46:11.497Z,Smart Vacuum,Electronics - Computers 505,1,751.55
Logan Rodriguez,2025-11-12T16:02:37.290Z,Rustic Drill,Automotive - Wellness 963,4,293.16
Logan Rodriguez,2025-11-12T16:02:37.290Z,Advanced Mixer,Clothing - Audio 725,1,311.17
Emma Jackson,2025-11-12T11:37:53.805Z,Classic Guitar,Clothing - Computers 939,5,5306.05
Emma Jackson,2025-11-12T11:37:53.805Z,Rustic Sneakers,Electronics - Garden 806,5,1179.95
Emma Jackson,2025-11-12T11:37:53.805Z,Essential Coffee Maker,Toys & Games - Accessories 44,4,1797.32
Emma Jackson,2025-11-12T11:37:53.805Z,Eco Backpack,Beauty & Personal Care - Kids 705,2,1792.12
Emma Jackson,2025-11-12T11:37:53.805Z,Wireless Headphones,Health - Outdoor 715,5,4092.3
Elijah Hernandez,2025-11-12T02:10:14.508Z,Compact Yoga Mat,Beauty & Personal Care - Office 43,2,530.88
Elijah Hernandez,2025-11-12T02:10:14.508Z,Limited Blender,Books - Accessories 332,5,5993.05
Elijah Hernandez,2025-11-12T02:10:14.508Z,Premium Laptop,Home & Kitchen - Tools 8,3,2910.84
Mason Jackson,2025-11-11T22:36:21.306Z,Advanced Sneakers,Health - Accessories 552,4,2660.6
Mason Jackson,2025-11-11T22:36:21.306Z,Ultra Smartphone,Automotive - Computers 537,1,38.02
Mason Jackson,2025-11-11T22:36:21.306Z,Vintage Yoga Mat,Home & Kitchen - Office 220,4,3472.44
Mason Jackson,2025-11-11T22:36:21.306Z,Essential Router,Clothing - Decor 55,1,231.4
Mason Jackson,2025-11-11T22:36:21.306Z,Deluxe Monitor,Home & Kitchen - Garden 191,3,1591.83
Mason Jackson,2025-11-11T22:36:21.306Z,Vintage Drill,Beauty & Personal Care - Outdoor 825,3,1021.65
Ethan Johnson,2025-11-11T20:27:20.102Z,Ultra Mixer,Grocery - Audio 360,2,1290.82
Ethan Johnson,2025-11-11T20:27:20.102Z,Modern Mixer,Automotive - Office 747,1,781.08
Lucas Smith,2025-11-11T19:38:52.879Z,Classic Headphones,Beauty & Personal Care - Outdoor 379,2,1195.4
Lucas Smith,2025-11-11T19:38:52.879Z,Deluxe Monitor,Home & Kitchen - Garden 191,3,1591.83
Charlotte Williams,2025-11-11T13:26:24.770Z,Classic Blender,Automotive - Kids 28,4,122.88
Charlotte Williams,2025-11-11T13:26:24.770Z,Deluxe Camera,Automotive - Office 534,3,2578.98
Charlotte Williams,2025-11-11T13:26:24.770Z,Vintage Chair,Books - Pets 907,5,3744.65
Charlotte Williams,2025-11-11T13:26:24.770Z,Rustic Treadmill,Grocery - Kids 522,3,1349.4
Charlotte Williams,2025-11-11T13:26:24.770Z,Vintage Vacuum,Electronics - Wellness 257,4,1404
Charlotte Williams,2025-11-11T13:26:24.770Z,Wireless Blender,Grocery - Bedding 595,1,249.23
Amelia Garcia,2025-11-11T12:21:56.339Z,Smart Backpack,Books - Kids 237,3,3021.33
Amelia Garcia,2025-11-11T12:21:56.339Z,Essential Yoga Mat,Clothing - Pets 634,5,937.95
Logan Gonzalez,2025-11-11T11:37:54.877Z,Ultra Headphones,Grocery - Garden 32,2,1807.7
Logan Gonzalez,2025-11-11T11:37:54.877Z,Deluxe Guitar,Health - Wellness 536,4,118.8
Logan Gonzalez,2025-11-11T11:37:54.877Z,Premium Headphones,Health - Camera 316,3,749.76
Logan Anderson,2025-11-11T01:48:18.625Z,Portable Camera,Sports & Outdoors - Outdoor 511,2,147.32
Logan Anderson,2025-11-11T01:48:18.625Z,Ultra Backpack,Electronics - Computers 819,3,3025.98
Logan Anderson,2025-11-11T01:48:18.625Z,Ultra Router,Books - Wellness 863,4,4792.28
Emma Smith,2025-11-10T18:39:08.566Z,Classic Sneakers,Beauty & Personal Care - Pets 125,5,852.55
Emma Smith,2025-11-10T18:39:08.566Z,Compact Printer,Grocery - Camera 695,3,3459.96
Liam Thomas,2025-11-10T14:35:23.586Z,Rustic Camera,Automotive - Garden 761,4,2541.8
Liam Thomas,2025-11-10T14:35:23.586Z,Premium Router,Books - Camera 960,1,87.8
Liam Thomas,2025-11-10T14:35:23.586Z,Wireless Backpack,Health - Outdoor 16,3,677.64
Liam Thomas,2025-11-10T14:35:23.586Z,Smart Router,Home & Kitchen - Computers 241,1,800.82
Liam Thomas,2025-11-10T14:35:23.586Z,Wireless Cookware Set,Health - Bedding 318,1,425.09
Liam Thomas,2025-11-10T14:35:23.586Z,Eco Headphones,Books - Fitness 994,2,658.38
Lucas Hernandez,2025-11-10T14:32:49.618Z,Portable Guitar,Clothing - Storage 150,2,1021.48
Lucas Hernandez,2025-11-10T14:32:49.618Z,Essential Jacket,Sports & Outdoors - Camera 656,1,660.95
